id,name,alcohol_by_volume,age,distillery_id,bottler_id,type_id
1587,Kilchoman Sherry Cask,46.00,NAS,35,197,9
1588,Baker’s 7 Year Small Batch,53.50,7 Years,5,27,3
1589,Oban Distillers Edition 2015,43.00,NAS,45,240,9
1590,High West Campfire,46.00,NAS,62,157,3
1591,Bruichladdich Waves,46.00,NAS,8,50,9
1592,Smooth Ambler Old Scout 7yr Rye,49.50,7 Years,42,288,8
1593,Bunnahabhain 10yr Signatory Vintage 2005,57.80,10 Years,91,283,9
1594,Signatory Vintage 1998 Mortlach,55.30,16 Years,149,283,9
1595,Signatory Vintage 2005 Tamdhu 10 Year,60.50,10 Years,54,283,9
1596,Evan Williams Bottled in Bond,50.00,NAS,28,152,3
1597,High West Rendezvous Rye,46.00,NAS,62,157,8
1598,High West Yippie-Ki-Yay,46.00,NAS,62,157,8
1599,Top of the Hill 8 Oak,46.00,NAS,236,332,1
1600,Glen Grant V Decades,46.00,NAS,147,127,9
1601,Auchentoshan Valinch 2012,57.20,NAS,189,16,9
1602,Kilkerran Work In Progress #6,46.00,10 Years,237,137,9
1603,Buffalo Trace Antique Collection: George T Stagg 2015,69.10,15 Years,9,52,3
1604,Great Lakes Distillery Kinnickinnic Whiskey Cab Franc Finish,45.00,NAS,62,147,3
1605,Russell’s Reserve 10 Year,45.00,10 Years,64,354,3
1606,Buffalo Trace Mashbill 1 White Dog,62.50,NA,9,52,3
1607,Tullamore Dew,40.00,NAS,58,336,11
1608,Glenfarclas 1990 24yr KL Selection,50.00,24 Years,144,134,9
1609,Glenfarclas 17yr,43.00,17 Years,144,134,9
1610,Heaven Hill 6yr Bottled in Bond,50.00,6 Years,28,152,3
1611,Smooth Ambler Old Scout Single Barrel 10yr,56.60,10 Years,42,288,3
1612,Jefferson’s Chef Collaboration Batch 12,45.00,NAS,60,181,1
1613,Glengoyne 12yr,43.00,12 Years,25,136,9
1614,Smooth Ambler Old Scout Single Barrel 8yr Davidsons Selection 1076,58.00,8 Years,42,288,3
1615,Colonel E.H. Taylor Barrel Proof 127pf,63.50,NAS,9,52,3
1616,Smooth Ambler Yearling,46.00,3 Years,228,288,3
1617,Bruichladdich Rocks,46.00,NAS,8,50,9
